,Survived,Sex,Age,SibSp,Parch,Fare,Pclass_1.0,Pclass_2.0,Pclass_3.0,Embarked_C,Embarked_Q,Embarked_S
331,0,male,45.5,0.0,0.0,28.5,1.0,0.0,0.0,0.0,0.0,1.0
733,0,male,23.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0
382,0,male,32.0,0.0,0.0,7.925,0.0,0.0,1.0,0.0,0.0,1.0
704,0,male,26.0,1.0,0.0,7.8542,0.0,0.0,1.0,0.0,0.0,1.0
813,0,female,6.0,4.0,2.0,31.275,0.0,0.0,1.0,0.0,0.0,1.0
118,0,male,24.0,0.0,1.0,247.5208,1.0,0.0,0.0,1.0,0.0,0.0
536,0,male,45.0,0.0,0.0,26.55,1.0,0.0,0.0,0.0,0.0,1.0
361,0,male,29.0,1.0,0.0,27.7208,0.0,1.0,0.0,1.0,0.0,0.0
29,0,male,31.8,0.0,0.0,7.8958,0.0,0.0,1.0,0.0,0.0,1.0
55,1,male,45.6,0.0,0.0,35.5,1.0,0.0,0.0,0.0,0.0,1.0
865,1,female,42.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0
595,0,male,36.0,1.0,1.0,24.15,0.0,0.0,1.0,0.0,0.0,1.0
239,0,male,33.0,0.0,0.0,12.275,0.0,1.0,0.0,0.0,0.0,1.0
721,0,male,17.0,1.0,0.0,7.0542,0.0,0.0,1.0,0.0,0.0,1.0
81,1,male,29.0,0.0,0.0,9.5,0.0,0.0,1.0,0.0,0.0,1.0
259,1,female,50.0,0.0,1.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0
486,1,female,35.0,1.0,0.0,90.0,1.0,0.0,0.0,0.0,0.0,1.0
716,1,female,38.0,0.0,0.0,227.525,1.0,0.0,0.0,1.0,0.0,0.0
800,0,male,34.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0
781,1,female,17.0,1.0,0.0,57.0,1.0,0.0,0.0,0.0,0.0,1.0
542,0,female,11.0,4.0,2.0,31.275,0.0,0.0,1.0,0.0,0.0,1.0
